n_nodes,seed,case,src,dest,status,hop_count,shortest_hops,stretch,decision_agreement
250,0,A_reference,125,150,delivered,4,3,1.3333333333333333,
250,0,A_reference,89,98,delivered,4,4,1.0,
250,0,A_reference,110,90,delivered,2,2,1.0,
250,0,A_reference,2,45,delivered,5,5,1.0,
250,0,A_reference,47,75,delivered,3,3,1.0,
250,0,A_reference,231,69,delivered,5,5,1.0,
250,0,A_reference,238,200,delivered,3,3,1.0,
250,0,A_reference,167,53,delivered,4,3,1.3333333333333333,
250,0,A_reference,133,235,delivered,4,4,1.0,
250,0,A_reference,14,209,delivered,9,7,1.2857142857142858,
250,0,A_reference,230,4,delivered,7,6,1.1666666666666667,
250,0,A_reference,207,98,delivered,7,6,1.1666666666666667,
250,0,A_reference,107,63,delivered,3,3,1.0,
250,0,A_reference,131,212,delivered,3,3,1.0,
250,0,A_reference,30,50,delivered,7,5,1.4,
250,0,A_reference,232,62,delivered,7,5,1.4,
250,0,A_reference,83,76,delivered,5,4,1.25,
250,0,A_reference,53,109,delivered,5,4,1.25,
250,0,A_reference,171,114,delivered,5,4,1.25,
250,0,A_reference,132,40,delivered,4,3,1.3333333333333333,
250,0,A_reference,14,78,delivered,2,2,1.0,
250,0,A_reference,87,42,delivered,3,2,1.5,
250,0,A_reference,137,78,delivered,4,3,1.3333333333333333,
250,0,A_reference,78,98,delivered,7,6,1.1666666666666667,
250,0,A_reference,249,90,delivered,5,5,1.0,
250,0,A_reference,104,2,delivered,3,3,1.0,
250,0,A_reference,110,69,delivered,4,4,1.0,
250,0,A_reference,1,244,delivered,8,6,1.3333333333333333,
250,0,A_reference,145,35,delivered,3,3,1.0,
250,0,A_reference,11,66,delivered,5,4,1.25,
250,0,A_reference,61,39,delivered,3,3,1.0,
250,0,A_reference,65,116,delivered,2,2,1.0,
250,0,A_reference,213,62,delivered,6,6,1.0,
250,0,A_reference,123,113,delivered,5,5,1.0,
250,0,A_reference,157,11,delivered,4,4,1.0,
250,0,A_reference,146,165,delivered,2,2,1.0,
250,0,A_reference,207,108,delivered,3,3,1.0,
250,0,A_reference,17,4,delivered,2,2,1.0,
250,0,A_reference,234,164,delivered,4,4,1.0,
250,0,A_reference,131,141,delivered,5,4,1.25,
250,0,A_reference,49,117,delivered,2,2,1.0,
250,0,A_reference,224,33,delivered,6,5,1.2,
250,0,A_reference,248,121,delivered,4,4,1.0,
250,0,A_reference,160,213,delivered,3,3,1.0,
250,0,A_reference,147,75,delivered,5,4,1.25,
250,0,A_reference,0,204,delivered,8,7,1.1428571428571428,
250,0,A_reference,216,80,delivered,6,5,1.2,
250,0,A_reference,111,33,delivered,6,6,1.0,
250,0,A_reference,214,1,delivered,7,6,1.1666666666666667,
250,0,A_reference,234,71,delivered,6,5,1.2,
250,0,A_reference,238,72,delivered,7,5,1.4,
250,0,A_reference,126,167,delivered,4,4,1.0,
250,0,A_reference,92,3,delivered,5,5,1.0,
250,0,A_reference,78,195,delivered,7,6,1.1666666666666667,
250,0,A_reference,70,237,delivered,5,5,1.0,
250,0,A_reference,237,189,delivered,2,2,1.0,
250,0,A_reference,123,26,delivered,3,3,1.0,
250,0,A_reference,245,54,delivered,6,5,1.2,
250,0,A_reference,146,99,delivered,2,2,1.0,
250,0,A_reference,227,16,delivered,6,5,1.2,
250,0,A_reference,160,224,delivered,3,2,1.5,
250,0,A_reference,181,55,delivered,5,4,1.25,
250,0,A_reference,116,2,delivered,4,3,1.3333333333333333,
250,0,A_reference,226,68,delivered,5,5,1.0,
250,0,A_reference,77,115,delivered,5,4,1.25,
250,0,A_reference,132,122,delivered,3,3,1.0,
250,0,A_reference,97,147,delivered,2,2,1.0,
250,0,A_reference,139,195,delivered,5,4,1.25,
250,0,A_reference,142,244,delivered,6,5,1.2,
250,0,A_reference,168,109,delivered,3,3,1.0,
250,0,A_reference,116,25,delivered,4,4,1.0,
250,0,A_reference,239,241,delivered,7,6,1.1666666666666667,
250,0,A_reference,191,81,delivered,7,6,1.1666666666666667,
250,0,A_reference,137,14,delivered,4,4,1.0,
250,0,A_reference,160,130,delivered,2,2,1.0,
250,0,A_reference,79,232,delivered,6,6,1.0,
250,0,A_reference,24,124,delivered,4,3,1.3333333333333333,
250,0,A_reference,198,128,delivered,4,3,1.3333333333333333,
250,0,A_reference,100,234,delivered,5,5,1.0,
250,0,A_reference,17,142,delivered,8,6,1.3333333333333333,
250,0,A_reference,160,17,delivered,5,4,1.25,
250,0,A_reference,171,240,delivered,6,5,1.2,
250,0,A_reference,79,144,delivered,8,7,1.1428571428571428,
250,0,A_reference,242,168,delivered,3,3,1.0,
250,0,A_reference,107,26,delivered,3,3,1.0,
250,0,A_reference,75,175,delivered,4,3,1.3333333333333333,
250,0,A_reference,99,59,delivered,5,4,1.25,
250,0,A_reference,108,15,delivered,4,3,1.3333333333333333,
