n_nodes,tx_pct,k_neighbors,seed,tx_distance_px,density,spacing_approx,r_over_s,mean_degree,min_degree,max_degree,isolated_nodes,n_components,connected,converged,ticks,mean_constraint_violation,procrustes_rmse,tx_energy_proxy,soft_converged,meaningful_hard
100,10.0,12,1,113.137,0.00015625,80.0,1.4142,5.06,2,8,0,1,1,1,162,0.0,238.4666,0.003162,0,0
100,10.0,12,2,113.137,0.00015625,80.0,1.4142,4.96,2,8,0,1,1,0,250,3.5237,292.2829,0.003162,0,0
100,10.0,12,3,113.137,0.00015625,80.0,1.4142,4.74,2,9,0,1,1,1,215,0.1005,102.6399,0.003162,0,0
100,10.0,12,4,113.137,0.00015625,80.0,1.4142,5.16,2,9,0,1,1,0,250,1.2872,155.5095,0.003162,0,0
100,12.0,6,0,135.765,0.00015625,80.0,1.6971,5.49,2,6,0,1,1,0,250,0.5991,33.175,0.004988,0,0
100,12.0,6,1,135.765,0.00015625,80.0,1.6971,5.58,2,6,0,1,1,0,250,0.3075,58.5926,0.004988,0,0
100,12.0,6,2,135.765,0.00015625,80.0,1.6971,5.72,2,6,0,1,1,0,250,3.3977,349.1924,0.004988,0,0
100,12.0,6,3,135.765,0.00015625,80.0,1.6971,5.64,3,6,0,1,1,0,250,5.4952,58.9441,0.004988,0,0
100,12.0,6,4,135.765,0.00015625,80.0,1.6971,5.67,3,6,0,1,1,1,116,0.0,46.5577,0.004988,0,0
100,12.0,10,0,135.765,0.00015625,80.0,1.6971,6.74,2,10,0,1,1,1,92,0.0,40.3946,0.004988,1,1
100,12.0,10,1,135.765,0.00015625,80.0,1.6971,7.33,2,10,0,1,1,0,250,7.4783,39.4925,0.004988,0,0
100,12.0,10,2,135.765,0.00015625,80.0,1.6971,7.49,2,10,0,1,1,1,206,0.0083,53.5523,0.004988,1,1
100,12.0,10,3,135.765,0.00015625,80.0,1.6971,7.15,3,10,0,1,1,1,227,0.0567,37.4247,0.004988,1,1
100,12.0,10,4,135.765,0.00015625,80.0,1.6971,7.4,3,10,0,1,1,0,250,0.3482,25.549,0.004988,1,0
100,12.0,12,0,135.765,0.00015625,80.0,1.6971,6.74,2,10,0,1,1,1,92,0.0,40.3946,0.004988,1,1
100,12.0,12,1,135.765,0.00015625,80.0,1.6971,7.46,2,12,0,1,1,0,250,3.8003,39.4316,0.004988,0,0
100,12.0,12,2,135.765,0.00015625,80.0,1.6971,7.58,2,12,0,1,1,1,127,0.0504,79.3225,0.004988,1,1
100,12.0,12,3,135.765,0.00015625,80.0,1.6971,7.16,3,11,0,1,1,1,177,0.0425,46.3643,0.004988,1,1
100,12.0,12,4,135.765,0.00015625,80.0,1.6971,7.44,3,11,0,1,1,0,250,0.7262,31.282,0.004988,1,0
100,15.0,6,0,169.706,0.00015625,80.0,2.1213,5.96,4,6,0,1,1,0,250,4.4663,91.137,0.008714,0,0
100,15.0,6,1,169.706,0.00015625,80.0,2.1213,5.99,5,6,0,1,1,0,250,4.0985,100.2991,0.008714,0,0
100,15.0,6,2,169.706,0.00015625,80.0,2.1213,5.98,5,6,0,1,1,1,178,0.0122,420.5285,0.008714,0,0
100,15.0,6,3,169.706,0.00015625,80.0,2.1213,5.96,5,6,0,1,1,1,122,0.0,47.998,0.008714,0,0
100,15.0,6,4,169.706,0.00015625,80.0,2.1213,6.0,6,6,0,1,1,0,250,1.3291,44.1181,0.008714,0,0
100,15.0,10,0,169.706,0.00015625,80.0,2.1213,9.28,4,10,0,1,1,0,250,1.8937,31.6732,0.008714,0,0
100,15.0,10,1,169.706,0.00015625,80.0,2.1213,9.27,5,10,0,1,1,1,202,0.0182,22.3107,0.008714,1,1
100,15.0,10,2,169.706,0.00015625,80.0,2.1213,9.36,5,10,0,1,1,0,250,2.0883,433.7865,0.008714,0,0
100,15.0,10,3,169.706,0.00015625,80.0,2.1213,9.26,5,10,0,1,1,1,74,0.0073,44.6883,0.008714,1,1
100,15.0,10,4,169.706,0.00015625,80.0,2.1213,9.48,6,10,0,1,1,1,59,0.0,47.867,0.008714,1,1
100,15.0,12,0,169.706,0.00015625,80.0,2.1213,10.41,4,12,0,1,1,1,156,0.0,24.9148,0.008714,1,1
100,15.0,12,1,169.706,0.00015625,80.0,2.1213,10.4,5,12,0,1,1,1,130,0.0,24.465,0.008714,1,1
100,15.0,12,2,169.706,0.00015625,80.0,2.1213,10.63,5,12,0,1,1,1,149,0.0235,447.0072,0.008714,1,1
100,15.0,12,3,169.706,0.00015625,80.0,2.1213,10.42,5,12,0,1,1,1,56,0.0,28.9002,0.008714,1,1
100,15.0,12,4,169.706,0.00015625,80.0,2.1213,10.67,6,12,0,1,1,1,77,0.0,39.4656,0.008714,1,1
100,20.0,6,0,226.274,0.00015625,80.0,2.8284,6.0,6,6,0,1,1,0,250,4.778,53.3289,0.017889,0,0
100,20.0,6,1,226.274,0.00015625,80.0,2.8284,6.0,6,6,0,1,1,0,250,4.0917,100.2991,0.017889,0,0
100,20.0,6,2,226.274,0.00015625,80.0,2.8284,6.0,6,6,0,1,1,1,221,0.0,429.5251,0.017889,1,1
100,20.0,6,3,226.274,0.00015625,80.0,2.8284,6.0,6,6,0,1,1,1,115,0.0,46.9286,0.017889,1,1
