n_nodes,seed,tx_pct,k_neighbors,reference_columns,connected,mean_degree,ticks,converged_hard,mean_constraint_violation,procrustes_rmse,angle_mae_deg,angle_sd_deg,angle_cv_pct,n_edge_angles,directional_correctness,mode,init_mode,uniform_normalize,early_stop,max_ticks
750,14,7.229568912920511,10,28,1,9.996,150,0,1.9073400422567203e-17,3.1130092378739023,3.0974374617972087,2.9244507802006687,94.41516790152824,3688,0.945,A_planned_geometry,mds,1,0,150
750,15,7.229568912920511,10,28,1,9.994666666666667,150,0,4.561702894621323e-17,2.9809038202467333,2.9429689638810026,2.8126223427530537,95.57091417790367,3709,0.945,A_planned_geometry,mds,1,0,150
750,16,7.229568912920511,10,28,1,9.998666666666667,150,0,3.233354660280042e-17,3.167843093534366,3.367240924619269,3.2287162690270623,95.88610798296621,3678,0.905,A_planned_geometry,mds,1,0,150
750,17,7.229568912920511,10,28,1,10.0,150,1,3.055241961002195e-17,2.859697462470267,2.9631400367039182,2.8608954234353625,96.5494505152619,3717,0.925,A_planned_geometry,mds,1,0,150
750,18,7.229568912920511,10,28,1,9.998666666666667,150,0,2.285838010379922e-17,2.9705779141095996,3.0640767657940766,3.067889660597608,100.12443861870881,3686,0.94,A_planned_geometry,mds,1,0,150
750,19,7.229568912920511,10,28,1,9.997333333333334,150,0,3.056056909511398e-17,2.6898626463855004,2.896050194395678,2.665709923392588,92.04639921473614,3706,0.955,A_planned_geometry,mds,1,0,150
1000,0,6.260990336999411,10,32,1,9.998,150,1,3.446283111476309e-17,2.9229329305939027,3.413644126110984,3.5563389259028813,104.18013110096696,4939,0.91,A_planned_geometry,mds,1,0,150
1000,1,6.260990336999411,10,32,1,9.997,150,1,4.03273222473228e-17,2.561779387127223,3.098954998148343,2.8376270303715114,91.56722288858735,4939,0.96,A_planned_geometry,mds,1,0,150
1000,2,6.260990336999411,10,32,1,9.997,150,1,5.86104381525304e-18,2.5918626328281924,3.220216480076698,3.1889901444899893,99.03030321781456,4941,0.955,A_planned_geometry,mds,1,0,150
1000,3,6.260990336999411,10,32,1,9.999,150,0,3.695191745127034e-17,2.909977764567735,3.5140015356435352,3.749648352876978,106.7059395063778,4908,0.905,A_planned_geometry,mds,1,0,150
1000,4,6.260990336999411,10,32,1,9.995,150,1,1.2971198458938937e-17,2.973323251076457,3.5567075143614555,3.5380280465132747,99.47481012220555,4916,0.925,A_planned_geometry,mds,1,0,150
1000,5,6.260990336999411,10,32,1,9.998,150,0,4.7080180212236725e-17,2.540613476971024,3.2512120322755558,2.9982749001888,92.22022034934083,4929,0.949748743718593,A_planned_geometry,mds,1,0,150
1000,6,6.260990336999411,10,32,1,9.997,150,1,1.7583131445759122e-17,2.503395992104879,3.2416133249246726,3.132074052059691,96.62084086270447,4917,0.935,A_planned_geometry,mds,1,0,150
1000,7,6.260990336999411,10,32,1,10.0,150,0,1.7053025658242403e-17,2.8829922347461796,3.4463779523798186,3.6330920061486833,105.41768942201867,4921,0.92,A_planned_geometry,mds,1,0,150
1000,8,6.260990336999411,10,32,1,9.998,150,0,1.2967306320973662e-17,2.8175249253956935,3.4622098490683437,3.372341738648725,97.40431359341775,4939,0.93,A_planned_geometry,mds,1,0,150
1000,9,6.260990336999411,10,32,1,9.998,150,1,2.946217916349965e-13,2.754166489153955,3.2250299745465747,3.7740581123734187,117.02397007655829,4925,0.945,A_planned_geometry,mds,1,0,150
1500,0,5.11207720338155,10,39,1,9.999333333333333,150,0,2.2915842430345155e-17,2.4198657160845847,3.3771519771618137,3.28405449670021,97.24331386057895,7378,0.91,A_planned_geometry,mds,1,0,150
1500,1,5.11207720338155,10,39,1,10.0,150,0,4.470429193749287e-17,2.2102512168838246,3.0946096633057443,3.1131791316127204,100.6000584993695,7382,0.975,A_planned_geometry,mds,1,0,150
1500,2,5.11207720338155,10,39,1,9.998,150,0,4.3601046939395177e-17,2.37402433276185,3.3304985012437043,3.389279532066594,101.76493191037136,7384,0.93,A_planned_geometry,mds,1,0,150
1500,3,5.11207720338155,10,39,1,9.998,150,0,6.812013415439282e-17,438.50574434885885,89.42726021345888,51.23202376307698,57.28904546643655,7386,0.895,A_planned_geometry,mds,1,0,150
1500,4,5.11207720338155,10,39,1,10.0,150,0,2.848069181813509e-17,2.4330934086793397,3.495438697030976,3.4466780955871408,98.6050219823551,7385,0.95,A_planned_geometry,mds,1,0,150
1500,5,5.11207720338155,10,39,1,9.998666666666667,150,0,3.233354660280042e-17,2.6681533518579834,3.431069465282223,3.361905676426181,97.98419153106965,7387,0.87,A_planned_geometry,mds,1,0,150
1500,6,5.11207720338155,10,39,1,9.998666666666667,150,1,3.049750355609835e-17,2.5757530760151455,3.5474947036672564,3.463831865802116,97.64163600360973,7397,0.925,A_planned_geometry,mds,1,0,150
1500,7,5.11207720338155,10,39,1,9.998666666666667,150,0,5.2231396250702944e-17,2.363688412799424,3.422705939298992,3.745146416822503,109.42063043807819,7384,0.905,A_planned_geometry,mds,1,0,150
1500,8,5.11207720338155,10,39,1,9.997333333333334,150,0,4.560486116041803e-17,2.2002219362433837,3.211258137577618,3.2792495264823183,102.11728194968434,7356,0.91,A_planned_geometry,mds,1,0,150
1500,9,5.11207720338155,10,39,1,9.999333333333333,150,1,4.991108722444894e-17,2.1899959845092782,3.304428883930288,3.130820822427323,94.74620070211724,7413,0.915,A_planned_geometry,mds,1,0,150
2000,0,5.0,10,45,1,10.0,150,0,4.616063851090236e-17,439.60597465355863,89.56539850970783,50.673875676361774,56.577513771536815,9829,0.95,A_planned_geometry,mds,1,0,150
2000,1,5.0,10,45,1,10.0,150,0,7.482817120880209e-17,2.226388858796574,3.497147400072374,3.468360557085916,99.17684787933554,9797,0.91,A_planned_geometry,mds,1,0,150
2000,2,5.0,10,45,1,10.0,150,1,3.7475056654773797e-17,2.163071479261096,3.365724687349648,3.4759627512664837,103.27531435744505,9841,0.915,A_planned_geometry,mds,1,0,150
2000,3,5.0,10,45,1,10.0,150,1,5.781938234135801e-17,2.0382404357634973,3.3844842088842544,3.4703500244334293,102.53704287713258,9785,0.955,A_planned_geometry,mds,1,0,150
2000,4,5.0,10,45,1,10.0,150,0,4.9917574720505107e-17,2.056497492502643,3.4812341267702234,3.508853282597302,100.7933725460948,9788,0.95,A_planned_geometry,mds,1,0,150
